Product ID,product_name,l1_category_name,l2_category_name,business_tagging,primary_vendor_name,Ship Date,Batch,Yes,Check
27159,Dua Kelinci Kacang Garing 75 gram,Snack,Kacang,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,Dua Kelinci,5 Mar 2025,Batch 11,Yes,Dry
1404,Dua Kelinci Kacang Lofet Daun Jeruk 120 gram,Snack,Kacang,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,Dua Kelinci,5 Mar 2025,Batch 09,Yes,Dry
2886,Dua Kelinci Kacang Shanghai 180 gram,Snack,Kacang Telur & Kulit,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,Dua Kelinci,5 Mar 2025,Batch 08,Yes,Dry
1402,Dua Kelinci Kacang Sukro Original 60 gram,Snack,Pilus & Kuaci,ASTRO_GO_&_QUICK_COMMERCE_&_SCHEDULE_DELIVERY,Dua Kelinci,5 Mar 2025,Batch 05,Yes,Dry
1403,Dua Kelinci Kacang Sukro Oven Bawang 95 gram,Snack,Pilus & Kuaci,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,Dua Kelinci,5 Mar 2025,Batch 11,Yes,Dry
1407,Dua Kelinci Kacang Sukro Oven Jagung Bakar 95 gram,Snack,Pilus & Kuaci,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,Dua Kelinci,5 Mar 2025,Batch 09,Yes,Dry
18076,Dua Kelinci Tos Tos Korean Bbq Tortilla Chips 145 gram,Snack,Chips,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,Dua Kelinci,5 Mar 2025,Batch 10,Yes,Dry
18077,Dua Kelinci Tos Tos Nacho Cheese Tortilla Chips 145 gram,Snack,Chips,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,Dua Kelinci,5 Mar 2025,Batch 10,Yes,Dry
18078,Dua Kelinci Tos Tos Roasted Corn Tortilla Chips 145 gram,Snack,Chips,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,Dua Kelinci,5 Mar 2025,Batch 11,Yes,Dry
12640,Sukro Kacang Original 100gram 100 gram,Snack,Kacang,QUICK_COMMERCE,Dua Kelinci,5 Mar 2025,Batch 12,Yes,Dry
18075,Tic Tac Ori 80 gram,Snack,Pilus & Kuaci,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,Dua Kelinci,5 Mar 2025,Batch 10,Yes,Dry
13494,Tic Tac Pedas 80 gram,Snack,Pilus & Kuaci,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,Dua Kelinci,5 Mar 2025,Batch 10,Yes,Dry
13496,Tic Tac Rasa Sapi Panggang 80 gram,Snack,Pilus & Kuaci,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,Dua Kelinci,5 Mar 2025,Batch 09,Yes,Dry
35263,Accu-Chek Softclix 100 Lancets,Alat Kesehatan,Alat Kesehatan,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,Mandjur,5 Mar 2025,Batch 11,Yes,Dry
40833,Apialys Drops Multivitamin Anak 10 ml,Vitamin,Suplemen,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,Mandjur,5 Mar 2025,Batch 10,Yes,Dry
28667,Bisolvon Kids Sirup Obat Batuk Anak 60 ml,Obat-obatan,Mulut & Tenggorokan,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,Mandjur,5 Mar 2025,Batch 12,Yes,Dry
28668,Bisolvon Solution Obat Batuk 50 ml,Obat-obatan,Mulut & Tenggorokan,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,Mandjur,5 Mar 2025,Batch 11,Yes,Dry
18318,Caladine Baby Bar Soap With Anti Irritant 85 gram,Kebutuhan Ibu & Bayi,Kebersihan Bayi,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,Mandjur,5 Mar 2025,Batch 12,Yes,Dry
