Hub ID,Location Name Fulfilled,SUM of Total Qty Sold,WH ID,WH,,,,
"517,FTW - Fatmawati,""40,305"",796,SRG,,,count,load"
"98,MTG - Menteng,""76,774"",160,PGS,,PGS,15,""762,863.00"""
"626,DST - Duren Sawit,""64,050"",160,PGS,,SRG,15,""764,221.00"""
"615,GPL - Gudang Peluru,""63,782"",160,PGS,,,,"
"288,MRG - Margonda,""58,659"",160,PGS,,,,"
"648,DNS - Danau Sunter,""58,403"",160,PGS,,,,"
"201,MSB - Medan Satria Bekasi,""56,169"",160,PGS,,,,"
"206,JTB - Jatibening,""55,805"",160,PGS,,,,"
"538,KJT - Kramat Jati,""51,971"",160,PGS,,,,"
"619,TSY - Transyogi,""44,273"",160,PGS,,,,"
"773,PGD - Pulo Gadung,""38,867"",160,PGS,,,,"
"207,GWB - Grand Wisata Bekasi,""35,636"",160,PGS,,,,"
"657,APR - Ampera,""27,449"",160,PGS,,,,"
"759,CWG - Cawang,""27,187"",160,PGS,,,,"
"669,BRY - Buncit Raya,""26,711"",160,PGS,,,,"
"523,JLB - Jelambar,""77,127"",160,PGS,,,,"
"529,BSX - New BSD,""78,347"",796,SRG,,,,"
"261,CNR - Cinere,""74,430"",796,SRG,,,,"
"121,BS9 - Bintaro Sektor 9,""66,242"",796,SRG,,,,"
"591,MRY - Meruya,""66,166"",796,SRG,,,,"
"776,BGS - Boulevard Gading Serpong,""64,612"",796,SRG,,,,"
"152,LBB - Lebak Bulus,""62,062"",796,SRG,,,,"
"125,PPN - Pos Pengumben,""60,393"",796,SRG,,,,"
"654,TGX - New TGC,""40,923"",796,SRG,,,,"
"189,SRP - Serpong Utara,""39,095"",796,SRG,,,,"
"634,PPL - Panglima Polim,""38,235"",796,SRG,,,,"
"223,CT2 - Citra 2,""37,812"",796,SRG,,,,"
"763,PSG - Pisangan,""34,730"",796,SRG,,,,"
"672,KPM - Kapuk Muara,""30,545"",796,SRG,,,,"
"767,PKC - Pondok Kacang,""30,324"",796,SRG,,,,"
