Product ID,Product Name,Brand Company,Primary Vendor,holding_cost
2,Larutan Cap Kaki Tiga Leci 320 ml,Kino,PT Borwita Indah,263
6,Alpukat Mentega Astro Farm 2-4 pcs 900-1000 gram,Astro,Toko Buah Serayu,1675
7,Dancow Madu 3-5 Thn Advanced Excelnutri/Susu Formula 350 gram,Nestle,PT DINAMIS ARTHA SUKSES,2040
13,Darlie Double Action Mint Toothpaste 225 gram,Asia Paramita,Darlie / PT Asia Paramita Indah,1567
16,Men'S Biore Acne Bright Care Gentle Facial Foam  100 gram,Kao,PT Kao Indonesia,1382
24,Larutan Cap Kaki Tiga Anak 200 ml,Kino,PT Borwita Indah,154
26,AQUA Air Mineral Botol 600 ml,Danone Aqua,PT Tirta Investama,125
28,Hup Seng Cream Crackers 428 gram,PT Citra Putra Tatapratama,PT Citra Putra Tatapratama,1457
35,Dancow Advanced Excelnutri Vanilla 1-3 Tahun Susu Formula 350 gram,Nestle,PT DINAMIS ARTHA SUKSES,2022
36,Magiclean Wiper Fresh Mint Refill Wet Sheet 8 Sheets,Kao,PT Kao Indonesia Distribution,1692
37,Green Valley Grated Parmesan Cheese/Keju Parmesan 80 gram,PT Prambanan Kencana,PT Prambanan Kencana,2173
38,Terong Ungu Astro Farm 500 gram,Astro,KEVIN SETIAWAN,336
39,Maybelline New York Define And Blend Brow Pencil  Mechanic Natural Brown 1 pcs,L'Oreal,PT Mensa Bina Sukses,2330
42,Sari Roti Tawar Kupas 200 gram,PT INDOSARI NIAGA NUSANTARA,PT INDOSARI NIAGA NUSANTARA (ROTI),656
49,Semangka Merah Astro Farm 4-5 kg 1 pcs,Astro,Toko Buah Serayu,1731
53,Cabe Hijau Keriting Astro Farm 150 gram,Astro,Endang - Sumber Rezeki,265
54,Cengkeh Astro Farm 25 gram,Astro,PT. MITRA SELI RAYA,255
55,ABC Saus Tomat 135 ml,ABC,PT Heinz ABC indonesia,365
59,Oatly Oat Milk Chocolate Dairy Free 1000 ml,PT Prambanan Kencana,PT Prambanan Kencana,2426
64,Kardus Polos Packing Small 20x10x8cm 1 pcs,,PT ISUTO SUKSES JAYA,45
83,Cap Dua Mujair Bihun Medan 300 gram,Toko Naga Pangan Abadi,PT Meyo sky indonesia,536
85,Palmolive Naturals Body Wash Orchid/Sabun Mandi 1 Liter,Colgate Palmolive,PT Tigaraksa Satria,4370
87,Blue Diamond Almond Milk Original 946 ml,PT Prambanan Kencana,PT Prambanan Kencana,2098
90,Jambu Kristal Astro Farm 2 pcs 500-600 gram,,Dono Farm,575
95,Mangga Gedong Gincu Astro Farm 4-5 pcs 1- 1.1kg,,Toko Buah Serayu,1863
100,Cimory Squeeze Original Yogurt 120ml 120 ml,Cimory,PT MACROSENTRA NIAGABOGA,505
101,Paprika Hijau Astro Farm 1 pcs,Astro,Sidiq - Bintang Sayur,420
104,Hormel Spam Classic 340 gram,PT Pandurasa Kharisma,PT Pandurasa Kharisma,4468
105,Panadol Cold & Flu 1 Blister,Haleon,PT Digital Distribusi Indonesia (DDI),794
109,Taro Net Seaweed 62 gram,FKS Mart,FKS Mart,338
112,Selection Facial Cotton - Kapas  75 gram,PT Tarunakusuma Purinusa,PT Tarunakusuma Purinusa,582
113,Lemon California Lokal Astro Farm pack 3-5 pcs 450-500 gram,Astro,Toko Buah Serayu,274
116,Glade 3in1 Disinfectant & Air Sanitizer Clean & Fresh/Pewangi Ruangan 400 ml,SC Johnson,PT Dua Berlian,1231
121,Mazola Canola Oil 450 ml,Sukanda,PT Sukanda Djaya (Import),2525
126,Pop Mie Lapeer Kuah Kari Ayam Mie Instan Cup 75 gram,Indofood,PT INDOMARCO ADI PRIMA (CAB.BOGOR),208
128,Sari Roti Tawar Double Soft Milky 360 gram,PT INDOSARI NIAGA NUSANTARA,PT INDOSARI NIAGA NUSANTARA (ROTI),769
130,Cabe Hijau Rawit Astro Farm 150 gram,,Endang - Sumber Rezeki,316
142,Hormel Spam Lite Usa 340 gram,PT Pandurasa Kharisma,PT Pandurasa Kharisma,4468
149,KIWI Shine & Protect Black Polish 75ml 75 ml,Johnson Home Hygiene Products,PT Bina San Prima (TANGERANG),1772
152,Dried Shitakes Mushrooms/Jamur Shitake Kering 250 gram,Dried Shitakes,PT Meyo sky indonesia,2576
153,Dancow Advanced Excelnutri Vanilla 3-5 Tahun Susu Formula 350 gram,Nestle,PT DINAMIS ARTHA SUKSES,1936
156,Joyko Gunting Kecil SC-282 12cm 1 pcs,PT Atali Makmur,Toko Timur Sejahtera,192
157,YOU-C 1000 Orange Water 500 ml,Artaboga,PT Artaboga Cemerlang,340
166,Rinso Perfume Essence Deterjen Cair 700 ml,Unilever,PT Unilever Indonesia TBK,828
174,YOU-C 1000 Lemon 140 ml,Artaboga,PT Artaboga Cemerlang,289
178,Vanish Oxi Action Powder Tube Penghilang Noda & Kuman Pakaian 400 gram,Reckitt,PT Bina San Prima (PULO GADUNG),2246
181,Hansaplast Kain Elastis 20 Lembar 1 Pack,Beiersdorf,PT Borwita Indah,590
182,Mylanta Sirup Obat Maag 50 ml,Mylanta,PT Solusi Sarana Sehat,795
183,Nivea Lip Balm Essential Care 4 gram,Beiersdorf,PT Borwita Indah,1431
186,Kunyit Astro Farm 250gram 250 gram,,Sidiq - Bintang Sayur,219
190,Jeruk Medan Astro Farm pack 4-5 pcs 450-500 gram,,Toko Buah Serayu,716
191,Dancow Advanced Excelnutri Vanilla 5-12 Tahun Susu Formula 350 gram,Nestle,PT DINAMIS ARTHA SUKSES,1910
199,ABC Minyak Wijen 195 ml,ABC,PT Heinz ABC indonesia,2440
207,Mangga Harum Manis Astro Farm 2-3 pcs 900-1000 gram,,Toko Buah Serayu,1502
208,Baygon Aerosol Flower Garden/Pembasmi Serangga 600 ml,Johnson Home Hygiene Products,PT Bina San Prima (TANGERANG),1929
209,Strepsils Original Permen Pelega Tenggorokan 8 Butir,Reckitt,PT Bina San Prima (PULO GADUNG),727
210,Larutan Penyegar Cap Kaki Tiga 200 ml,Kino,PT Borwita Indah,154
213,Pear Century Astro Farm 4-5 pcs 950-1000 gram,,PT SEGAR SUKSES INDONESIA,1187
214,Mr Muscle Pembersih Kamar Mandi 5in1 Spray/Pembersih Kamar Mandi 500 ml,SC Johnson,PT Dua Berlian,967
225,Selection Facial Cotton Round - Kapas  1 Pack,PT Tarunakusuma Purinusa,PT Tarunakusuma Purinusa,693
226,Rock Melon Orange Astro Farm 1 pcs 1.8-2.2 kg,Astro,M SURYA,1356
228,Lo Han Kuo Infusion Pereda Panas Dalam 168 gram,SSA,PT Saras Subur Abadi,1002
233,"Garnier Micellar Cleansing Water All in 1 For Oily, Acne - Prone Skin 125 ml",Ayu Beauty House,PT UNIRAMA DUTA NIAGA,1637
234,Twinings English Breakfast Tea 1 pack 50 gram,PT Pandurasa Kharisma,PT Pandurasa Kharisma,4022
248,Merries NB24 Diapers Tape 1 Pack,Kao,PT Kao Indonesia Distribution,3448
251,Men's Biore Pore Pack Black 4 Sheets,Kao,PT Kao Indonesia Distribution,547
258,Pepsodent Double Care Sensitive Toothbrush 3pcs 1 Pack,Unilever,PT Unilever Indonesia TBK,1333
259,Becom-Zet Multivitamin & Zinc Strip 10 Tablet,Sanbe,PT Solusi Sarana Sehat,1289
263,Elle & Vire Butter Packet Unsalted 200 gram,Sukanda,PT Sukanda Djaya (Import),3058
264,Sido Muncul Vitamin C 1000 Serbuk Lemon Suplemen Daya Tahan Tubuh 6 Sachets,Sido Muncul,PT SAMA SAMO MEKAR,376
271,Vitalong C Vitamin C 30 Kapsul,Bernofarm,PT UNITED DICO CITAS,1942
281,OB Herbal Sirup Obat Batuk 60 ml,Combiphar,PT Javas Karya Tripta,981
294,Nion-Nion Bawang Goreng Sumenep 250 gram,Tokopedia - Bawang Goreng Nion Nion,Nion Nion ( Bawang Goreng),2100
295,Attack Hygiene Plus Protection Deterjen Cair 750 ml,Kao,PT Kao Indonesia,1287
296,Kerupuk Bawang Naga Prima Warna Warni 500 gram,Naga Prima,PT Meyo sky indonesia,604
297,Daun Seledri Astro Farm 250 gram,,Dafa Farm,366
307,Men's Biore Cool Energy Body Foam Pouch 400 ml,Kao,PT Kao Indonesia,1240
314,Bawang Bombay Astro Farm 1 kg,Astro,PT. ADI BOGA CITRA,1776
317,Timun Fresh Astro Farm 500 gram,Astro,Endang - Sumber Rezeki,287
331,Nivea Extra Brightening Deodorant Roll On 50 ml,Beiersdorf,PT Borwita Indah,1029
335,Tomat Merah Astro Farm 500 gram,Astro,Dafa Farm,466
336,Elle & Vire Salted Butter 200 gram,Sukanda,PT Sukanda Djaya (Import),3058
340,Paseo Smart Tisu Wajah 180 Sheets,The Univenus,PT Catur Sentosa Anugerah,438
