https://lookerstudio.google.com/u/0/reporting/86eb0443-ec98-484c-a413-4ff97a40fbf6/page/p_3rapwc0kcd?s=vspge78jR74,monthly update to github,,
Product ID,Products,date_key (Year Month),Forecast Step 3
43794,From This Island Mangosteen Brightening Serum 15 ml,June 2025,0.9780574141
43792,Brookfarm Almond Milk Salted Caramel 200 ml 1 pcs,June 2025,208.2671452
43791,Brookfarm Almond Milk Dark Chocolate 200 ml 1 pcs,June 2025,208.2671452
43790,Brookfarm Almond Milk Matcha 200 ml 1 pcs,June 2025,208.2671452
43789,Brookfarm Almond Milk Original 200 ml 1 pcs,June 2025,208.2671452
43787,Ikan Gurmae Wild Caught 500gr 1 pcs,June 2025,96.5147625
43786,Amorens A'Clean Fresh Strawberry Handsoap 500 ml,June 2025,0.9780574141
43785,Amorens A'Clean Fresh Lemon Handsoap 500 ml,June 2025,0.9780574141
43784,Acnaway Mugwort Gel Facial Wash 100 ml,June 2025,0.9780574141
43783,PYARY Sabun Nalpamara 75 gr 1 pcs,June 2025,0.9780574141
43782,Arla Full Cream Milk UHT Organic 1000 gram,June 2025,69.56150475
43781,Arla Full Cream Milk UHT Organic 200 ml,June 2025,124.7933395
43780,"Only Organic Apple, Banana, & Mango 6+ Months Makanan Bayi 120 gram",June 2025,83.4738057
43779,Tumi Handwash Sabun Cuci Tangan Lavender - 500 ml 1 pcs,June 2025,0.9780574141
43778,Tumi Handwash Sabun Cuci Tangan Lemon - 500 ml 1 pcs,June 2025,0.9780574141
43777,Tumi Handwash Sabun Cuci Tangan Apel - 500 ml 1 pcs,June 2025,0.9780574141
43776,Tumi Strawberry Handwash 500 ml,June 2025,0.9780574141
43775,Klar Intensewhite PAP+ Toothpaste 40 gram,June 2025,0.9780574141
43774,Livia Tempat Bumbu Dapur Adjustable 300ml 1 pcs,June 2025,0.9780574141
43773,Garlickys Sichuan Pepper 30 gram,June 2025,3.617198247
43772,Garlickys Ground Candlenut Kemiri Bubuk 50 gram,June 2025,3.617198247
43771,Garlickys Kampong Chicken Stock 85 gram,June 2025,3.617198247
43770,Garlickys Chili Flakes 30 gram,June 2025,3.617198247
43769,Garlickys Cajun Seasoning 55 gram,June 2025,3.617198247
43768,Garlickys Crushed Black Pepper 50 gram,June 2025,3.617198247
43767,Garlickys Daun Oregano Kering 15 gram,June 2025,3.617198247
43766,Garlickys Italian Herbs Seasoning 24 gram,June 2025,3.617198247
43765,Garlickys Ngohiong Powder 40 gram,June 2025,3.617198247
43764,Garlickys Paprika Powder 42 gram,June 2025,3.617198247
43763,From This Island Mangosteen Brightening Serum 30 ml,June 2025,0.9780574141
43762,From This Island Illipe Plumping Cinnamon Toast Lip Butter 10 gram,June 2025,0.9780574141
43761,From This Island Illipe Plumping Clearly Naked Lip Butter 10 gram,June 2025,0.9780574141
43760,From This Island Illipe Plumping Berry Burst Lip Butter 10 gram,June 2025,0.9780574141
43759,From This Island Illipe Plumping Sparkling Blush Lip Butter 10 gram,June 2025,0.9780574141
43758,From This Island Illipe Plumping Classic Nude Lip Butter 10 gram,June 2025,0.9780574141
43757,From This Island Illipe Plumping Cold Brew Lip Butter 10 gram,June 2025,0.9780574141
43756,From This Island Illipe Plumping Pink Sugar Lip Butter 10 gram,June 2025,0.9780574141
43755,From This Island Illipe Plumping Sweet Peach Lip Butter 10 gram,June 2025,0.9780574141
43754,Han River Smart Body Fat Scale Timbangan Digital 1 pcs,June 2025,0.9780574141
43753,Red Bull Energy Drink Can Multipack 250ml 4 pcs,June 2025,144.2495536
43748,Iqos Iluma Terea Blue Rokok Elektrik 1 Slof,June 2025,29.8654701
43747,Silica Gel Natural Anti Lembab 1 Gram 100 Pcs 1 Box,June 2025,0.9780574141
43746,Heat Pack Penghangat Tangan Isi 2 Pcs 1 Packs,June 2025,0.9780574141
43745,Goto Shane Milk Frother Hand Mixer Portable White 1 pcs,June 2025,0.9780574141
43744,Goojodoq Kipas Lipat Portable Strong Wind Black 1 pcs,June 2025,0.9780574141
