product_id,Product Name,Batch,Checker,0
88,Dada Ayam Boneless Fillet Organik Probiotik Natural Poultry 500 gram,Split Hub,Aman,
100,Cimory Squeeze Original Yogurt 120ml 120 ml,Split Hub,Aman,
143,Walls Magnum Mini Classic 270 ml,Split Hub,Aman,
263,Elle & Vire Butter Packet Unsalted 200 gram,Split Hub,Aman,
355,Heavenly Blush Greek Granola Yogurt 100 gram,Split Hub,Aman,
449,Belfoods Sosis Ayam 6pcs,Split Hub,Aman,
545,Anchor Minidish Unsalted Butter 7gr x 10 pcs 70 gram,Split Hub,Aman,
550,Bakso Warisan Ibu Tahu Bakso Sapi Premium 8 pcs 500 gram,Split Hub,Aman,
568,Kanzler Smoked Beef 250 gram,Split Hub,Aman,
595,Udang Laut Kupas Bersih M Java Sea 200 gram,Split Hub,Aman,
652,Anchor Minidish Salted Butter 7gr x 10 pcs/Mentega 70 gram,Split Hub,Aman,
684,Bakso Warisan Ibu Super Halus 20 pcs 500 gram,Split Hub,Aman,
691,Heavenly Blush Greek Peach Yogurt 100 gram,Split Hub,Aman,
693,Dada Ayam Parting Organik Probiotik Natural Poultry 1 kg,Split Hub,Aman,
712,Sambal Khas Bu Rudy Sambal Bawang 110 gram,Split Hub,Aman,
720,Kanzler Beef Cocktail Sausages 500 gram,Split Hub,Aman,
1071,Aice Mochi Vanilla Ice Cream 1 pcs/Es Krim 30 gram,Split Hub,Aman,
1072,Aice Popsicle Nanas 65 gram,Split Hub,Aman,
1073,Aice Mochi Coklat Ice Cream 1 pcs/Es Krim 45 ml,Split Hub,Aman,
1074,Aice Mochi Durian Ice Cream 1 pcs/Es Krim 45 ml,Split Hub,Aman,
1102,TYJ Happy Belly Gyoza Skin 300 gram,Split Hub,Aman,
1103,TYJ Kulit Spring Roll 275 gram,Split Hub,Aman,
1330,Cimory Yogurt Drink Blueberry 240 ml,Split Hub,Aman,
1345,Greenfields Mozzarella Cheese/Keju 200 gram,Split Hub,Aman,
1346,Greenfields Fresh Milk Strawberry/Susu Segar 950 ml,Split Hub,Aman,
1347,Greenfields Fresh Milk Plain/Susu Segar 950 ml,Split Hub,Aman,
1420,Kimbo Cocktail Sausages 450 gram,Split Hub,Aman,
1421,Kimbo Bratwurst Sausages 450 gram,Split Hub,Aman,
1495,Aice Popsicle Semangka 65 gram,Split Hub,Aman,
1594,Biokul Stirred Plain Yogurt 1000 ml,Split Hub,Aman,
1604,Walls Magnum Almond 80 ml,Split Hub,Aman,
1605,Walls Magnum Classic Belgian Chocolate 80 ml,Split Hub,Aman,
1608,Cornetto Ice Cream Disc Chocolate Es Krim Walls 120 ml,Split Hub,Aman,
1626,Cornetto Oreo Ice Cream Walls 110 ml,Split Hub,Aman,
1635,Cornetto Silverqueen Ice Cream - Es Krim Walls 110 ml,Split Hub,Aman,
1765,Elle Vire Cooking Cream Special 35.1% Fat 200 ml,Split Hub,Aman,
1833,Sempio Fresh Udon Noodle 200 gram,Split Hub,Aman,
2056,Kanzler Singles Keju Ready to Eat Sausages 1 pcs,Split Hub,Aman,
2057,Kanzler Singles Original Ready to Eat Sausages 1 pcs 65 gram,Split Hub,Aman,
2342,Belcube Spread Cheese/Keju 125 gram,Split Hub,Aman,
2413,Heavenly Blush Greek Strawberry Yogurt 100 gram,Split Hub,Aman,
2456,Kin Bulgarian Strawberry Yogurt Drink 200 ml,Split Hub,Aman,
2457,Kin Bulgarian Blueberry Yogurt Drink 200 ml,Split Hub,Aman,
2533,Belfoods Fav Chicken Nugget 500 gram,Split Hub,Aman,
2610,Cimory Squeeze Peach Yogurt 120 ml,Split Hub,Aman,
2689,Greenfields Fresh Milk Jersey 950 ml,Split Hub,Aman,
2871,Greenfields Fresh Milk Low Fat 950 ml,Split Hub,Aman,
2959,Walls Paddle Pop Rainbow 50 ml,Split Hub,Aman,
2960,Walls Populaire Chocolate Ice Cream - Es Krim Walls 90 ml,Split Hub,Aman,
2961,Walls Feast Chocolate 65 ml,Split Hub,Aman,
2962,Walls Feast Vanilla 65 ml,Split Hub,Aman,
2964,Walls Selection Strawberry Cheesecake Ice Cream - Es Krim Walls 410 ml,Split Hub,Aman,
2965,Golden Farm French Fries Crinkle Cut 500 gram,Split Hub,Aman,
2966,Golden Farm French Fries Shoestring 500 gram,Split Hub,Aman,
2968,Golden Farm Mixed Vegetable Sayuran Beku 500 gram,Split Hub,Aman,
2987,Walls Populaire Strawberry Ice Cream - Es Krim Walls 90 ml,Split Hub,Aman,
2990,Daging Brisket Slice Import Astro Basics 250 gram,Split Hub,Aman,
2992,Daging Shortplate Slice Import Astro Goods 250 gram,Split Hub,Aman,
3012,Ayam Nanas Belfoods Potong 9 Sreeya 950 gram,Split Hub,Aman,
3069,Ikan Asin Peda Merah 150 gram,Split Hub,Aman,
3070,Udang Rebon 100 gram,Split Hub,Aman,
3071,Ikan Asin Japuh 100 gram,Split Hub,Aman,
3073,Ikan Asin Bilis 100 gram,Split Hub,Aman,
3074,Ikan Asin Cumi Telur 100 gram,Split Hub,Aman,
3113,Ribeye Steak Import Astro Goods 500 gram,Split Hub,Aman,
3114,Daging Sapi Giling Low Fat Import 500 gram,Split Hub,Aman,
3115,Daging Ayam Giling Astro Farm 500 gram,Split Hub,Aman,
3118,Daging Sapi Brisket Slice AUS Premium 500 gram,Split Hub,Aman,
3465,Kanzler Chicken Nugget Original 450 gram,Split Hub,Aman,
3466,Kanzler Crispy Chicken Nugget 450 gram,Split Hub,Aman,
3467,Kanzler Cheese Frankfurter Sausages 360 gram,Split Hub,Aman,
3468,Kanzler Blackpepper Frankfurter Sausages 300 gram,Split Hub,Aman,
3469,Kanzler Cheese Cocktail Sausages 500 gram,Split Hub,Aman,
3470,Kanzler Singles Hot Ready to Eat Sausages 60 gram,Split Hub,Aman,
3471,Kanzler Chicken Cordon Blue Frozen Food 300 gram,Split Hub,Aman,
3685,Heavenly Blush Greek Classic Yogurt 200 ml,Split Hub,Aman,
3687,Heavenly Blush Yoguruto Original Yogurt Drink 200 ml,Split Hub,Aman,
3688,Heavenly Blush Yoguruto Strawberry Yogurt Drink 200 ml,Split Hub,Aman,
3689,Heavenly Blush Yoguruto Blackcurrant Yogurt Drink 200 ml,Split Hub,Aman,
3773,Ikan Teri Medan 100 gram,Split Hub,Aman,
3897,Heavenly Blush Yoguruto Peach Yogurt Drink 200 ml,Split Hub,Aman,
3902,Heavenly Blush Tummy Yogurt Drink Blueberry Redbeet 180 ml,Split Hub,Aman,
3984,Yummy Mascarpone Keju Cream 250 gram,Split Hub,Aman,
4078,Ayam Kampung Utuh Frozen Astro Farm 900 gram,Split Hub,Aman,
4079,Ayam Kampung Parting 8 Frozen Astro Farm 900 gram,Split Hub,Aman,
4136,Kanzler Beef Cocktail Sausages 250 gram,Split Hub,Aman,
4200,The Laughing Cow Cheese Triangle 8 Portion 120 gram,Split Hub,Aman,
4202,Babybel Mini Cheese/Keju isi 5 110 gram,Split Hub,Aman,
4203,The Laughing Cow Cheese Dipper/Keju 140 gram,Split Hub,Aman,
4237,Anchor Salted Butter/Mentega 100 gram,Split Hub,Aman,
4257,Anchor Cheese Cheddar Slice 12 Pcs/Keju 200 gram,Split Hub,Aman,
4335,Salmon Fillet Astro Goods 200 gram,Split Hub,Aman,
4336,Salmon Fillet Kirimi Astro Goods 300 gram,Split Hub,Aman,
4426,A-M Kulit Pangsit Serbaguna Special 10 x 10 cm 50 Lembar,Split Hub,Aman,
4480,Diamond Jungle Juice Orange/Jus 200 ml,Split Hub,Aman,
4481,Diamond Jungle Juice Guava/Jus 200 ml,Split Hub,Aman,
4482,Diamond Jungle Juice Apple/Jus 200 ml,Split Hub,Aman,
4483,Diamond Jungle Juice Orange 1 Liter,Split Hub,Aman,
4484,Diamond Jungle Juice Guava 1 Liter,Split Hub,Aman,
4485,Diamond Jungle Juice Apple 1 Liter,Split Hub,Aman,
4894,Hati Sapi Import Astro Basics 250 gram,Split Hub,Aman,
4966,Ikan Dori Fillet Non Blood Line (NBL) Astro Goods 500 gram,Split Hub,Aman,
4993,Daging Sapi Rendang Import Astro Basics 500 gram,Split Hub,Aman,
4994,Daging Semur Import Astro Basics 500 gram,Split Hub,Aman,
5067,Ikan Kembung Banjar Astro Basics 400 gram,Split Hub,Aman,
5068,Ikan Bandeng Bersih Astro Basics 400 gram,Split Hub,Aman,
5360,Belfoods Royal Gangnam Chicken 200 gram,Split Hub,Aman,
5546,Cumi Ring - Astro Goods 500 gram,Split Hub,Aman,
5672,Udang Vaname Utuh Astro Goods 500 gram,Split Hub,Aman,
5673,Arla Keju Cheese Spread 140 gram,Split Hub,Aman,
5674,Arla Keju Mozzarella Shredded Cheese 175 gram,Split Hub,Aman,
5682,Ikan Selar Astro Basics 500 gram,Split Hub,Aman,
5683,Tenggiri Steak Astro Basics 500 gram,Split Hub,Aman,
5686,Lurpak Salted Butter 200 gram,Split Hub,Aman,
5687,Lurpak Unsalted Butter 200 gram,Split Hub,Aman,
5761,Walls Magnum Mini Almond 270 ml,Split Hub,Aman,
5779,Aice Sweet Corn 52 gram,Split Hub,Aman,
5780,Aice Chocolate Crispy 60 gram,Split Hub,Aman,
5831,Ikan Tenggiri Giling 250 gram,Split Hub,Aman,
5832,Udang Kupas Vanamei Size L Astro Goods 500 gram,Split Hub,Aman,
5844,Riverland Chicken Bonito Karaage 500 gram,Split Hub,Aman,
5845,Riverland Smoked Cheddar Sausage 360 gram,Split Hub,Aman,
5943,Benfarm Chicken Nugget Original 400 gram,Split Hub,Aman,
5944,Benfarm Chicken Nugget Stick 400 gram,Split Hub,Aman,
5985,Greenfields Yogurt Drink Strawberry 240 ml,Split Hub,Aman,
6001,Kanzler Frankfurter Cocktail Sausages 500 gram,Split Hub,Aman,
6004,Cimory Fresh Milk Plain 950 ml,Split Hub,Aman,
6006,Cimory Greek Plain Yogurt 400 gram,Split Hub,Aman,
6011,Biokul Stirred Yogurt Strawberry 80 ml,Split Hub,Aman,
6012,Biokul Stirred Yogurt Blueberry 80 ml,Split Hub,Aman,
6056,Daging Shortplate Slice Import Astro Basics 250 gram,Split Hub,Aman,
6057,Daging Sapi Giling Reguler Import 500 gram,Split Hub,Aman,
6058,Daging Sapi Teriyaki Import Astro Basics 250 gram,Split Hub,Aman,
6059,Daging Teriyaki Import Astro Goods 500 gram,Split Hub,Aman,
6060,Saikoro Meltique Import 500 gram,Split Hub,Aman,
6062,Sirloin Steak USA Astro Goods 500 gram,Split Hub,Aman,
6063,Daging Ayam Giling Astro Farm 250 gram,Split Hub,Aman,
6064,Chicken Teriyaki Astro Farm 250 gram,Split Hub,Aman,
6105,Daging Shortplate Slice Import Astro Goods 500 gram,Split Hub,Aman,
6111,Cumi Sero - Astro Goods 500 gram,Split Hub,Aman,
6136,Walls Cornetto Mini Disc Chocolate and Tiramisu 12 x 28 ml 336 ml,Split Hub,Aman,
6137,Walls Cornetto Mini Oreo Ice Cream 12 x 28 ml 336 ml,Split Hub,Aman,
6138,Walls Neopolitana 3in1 Tube Ice Cream - Es Krim Walls 350 ml,Split Hub,Aman,
6251,Kin Bulgarian Black Yogurt Drink 200 ml,Split Hub,Aman,
6494,Meg Processed Cream Cheese 500 gram,Split Hub,Aman,
6506,Ikan Gurame Bersih Utuh Astro Basics 450 gram,Split Hub,Aman,
6508,Ikan Nila Merah Bersih Utuh Astro Basics 480 gram,Split Hub,Aman,
6511,Ikan Balita Mas Astro Basics 200 gram,Split Hub,Aman,
6512,SAU Saikoro Now 500 gram,Split Hub,Aman,
6583,Diamond Ice Cream Chocolate/Es Krim 700 ml,Split Hub,Aman,
6584,Diamond Ice Cream Durian/Es Krim 700 ml,Split Hub,Aman,
6585,Diamond Ice Cream Vanilla 700 ml,Split Hub,Aman,
6586,Diamond Ice Cream Neapolitan/Es Krim 700 ml,Split Hub,Aman,
6858,Sumber Selera Bakso SB Serbaguna 50 pcs 650 gram,Split Hub,Aman,
